No.,Server 맵,size,R/W,Name,DIGIT,설명,Data 형태,스케일
PCS#4,1120,2,R,GridVoltageT,-1,Grid Voltage T,U32,0.1
PCS#4,1122,2,R,GridCurrentR,-1,Grid Current R,I32,0.01
PCS#4,1124,2,R,GridCurrentS,-1,Grid Current S,I32,0.01
PCS#4,1126,2,R,GridCurrentT,-1,Grid Current T,I32,0.01
PCS#4,1128,2,R,GridFrequency,-1,Grid Frequency,U32,0.01
PCS#4,1130,2,R,InverterTemperature,-1,Inverter Temperature,U32,0.1
PCS#4,1132,2,R,CabinetTemperature,-1,Cabinet Temperature ,U32,0.1
PCS#4,1134,2,R,reserved,-1,reserved,U32,0.1
PCS#4,1136,2,R,InverterVoltageR,-1,Inverter Voltage R,U32,0.1
PCS#4,1138,2,R,InverterVoltageS,-1,Inverter Voltage S,U32,0.1
PCS#4,1140,2,R,InverterVoltageT,-1,Inverter Voltage T,U32,0.1
PCS#4,1142,2,R,reserved,-1,reserved,U32,0.1
PCS#4,1144,2,R,InverterCurrentR,-1,Inverter Current R,I32,0.1
PCS#4,1146,2,R,InverterCurrentS,-1,Inverter Current S,I32,0.1
PCS#4,1148,2,R,InverterCurrentT,-1,Inverter Current T,I32,0.1
PCS#4,1160,1,R,TotalChargeyieldKilo,-1,Total Charge yield (Kilo),U16,0.1
PCS#4,1161,1,R,TotalChargeyieldMega,-1,Total Charge yield(Mega) ,U16,1
PCS#4,1162,1,R,TotalDischargeyieldKilo,-1,Total Discharge yield (Kilo),U16,0.1
PCS#4,1163,1,R,TotalDishargeyieldMega,-1,Total Disharge yield(Mega),U16,1
PCS#4,1164,1,R,OperationStatus,-1,Operation Status,U16,1
PCS#4,1165,1,R,Alarm1,-1,Alarm #1,U16,1
PCS#4,1166,1,R,Alarm2,-1,Alarm #2,U16,1
PCS#4,1167,1,R,InverterStatus,-1,Inverter Status,U16,1
PCS#4,1168,1,R,Year,-1,Year,U16,1
PCS#4,1169,1,R,Month,-1,Month,U16,1
PCS#4,1170,1,R,Day,-1,Day,U16,1
PCS#4,1171,1,R,Hour,-1,Hour,U16,1
PCS#4,1172,1,R,Minute,-1,Minute,U16,1
PCS#4,1173,1,R,Second,-1,Second,U16,1
BSC#1,1503,1,R,SOC,0,,U16,0.5
BSC#1,1504,1,R,ChargeablePowerLimitOnlineRack,-1,Chargeable Power Limit (Online Rack) ,U16,1
BSC#1,1505,1,R,DischargeablePowerLimitOnlineRack,-1,Dischargeable Power Limit (Online Rack),U16,1
BSC#1,1506,1,R,SOH,0,,U16,0.5
BSC#1,1513,1,R,SOC_MAX,0,,U16,0.5
BSC#1,1513,1,R,SOC_MIN,1,,U16,0.5
BSC#1,1514,1,R,CellSUMVoltAverageOnlineRack,-1,Cell SUM Volt Average (Online Rack),U16,1
BSC#1,1515,1,R,CellSUMVoltMaxOnlineRack,-1,Cell SUM Volt Max (Online Rack),U16,1
BSC#1,1516,1,R,CellSUMVoltMinOnlineRack,-1,Cell SUM Volt Min (Online Rack),U16,1
BSC#1,1523,1,R,SOH_MAX,0,,U16,0.5
BSC#1,1523,1,R,SOH_MIN,1,,U16,0.5
BSC#1,1524,1,R,RackCurrentSUMOnlineRack,-1,Rack Current SUM (Online Rack),U16,1
BSC#1,1525,1,R,RackCurrentMaxOnlineRack,-1,Rack Current Max (Online Rack),U16,1
BSC#1,1526,1,R,RackCurrentMinOnlineRack,-1,Rack Current Min (Online Rack),U16,1
BSC#1,1534,1,R,AverageModuleTemp,0,,U16,1
BSC#1,1534,1,R,MaxModuleTemp,1,,U16,1
BSC#1,1535,1,R,MinModuleTemp,0,,U16,1
BSC#1,1543,1,R,CellAVGVoltageV,-1,Cell AVG Voltage [V],U16,1
BSC#1,1544,1,R,CellVoltMax,-1,Cell Volt Max,U16,1
BSC#1,1545,1,R,CellVoltMin,-1,Cell Volt Min,U16,1
BSC#1,1553,1,R,Event1,-1,,U16,1
BSC#1,1554,1,R,Event2,-1,,U16,1
BSC#1,1555,1,R,Event3,-1,,U16,1
BSC#1,1556,1,R,Event4,0,,U16,1
BSC#2,2003,1,R,SOC,0,,U16,0.5
BSC#2,2004,1,R,ChargeablePowerLimitOnlineRack,-1,Chargeable Power Limit (Online Rack) ,U16,1
BSC#2,2005,1,R,DischargeablePowerLimitOnlineRack,-1,Dischargeable Power Limit (Online Rack),U16,1
BSC#2,2006,1,R,SOH,0,,U16,0.5
BSC#2,2013,1,R,SOC_MAX,0,,U16,0.5
BSC#2,2013,1,R,SOC_MIN,1,,U16,0.5
BSC#2,2014,1,R,CellSUMVoltAverageOnlineRack,-1,Cell SUM Volt Average (Online Rack),U16,1
BSC#2,2015,1,R,CellSUMVoltMaxOnlineRack,-1,Cell SUM Volt Max (Online Rack),U16,1
BSC#2,2016,1,R,CellSUMVoltMinOnlineRack,-1,Cell SUM Volt Min (Online Rack),U16,1
BSC#2,2023,1,R,SOH_MAX,0,,U16,0.5
BSC#2,2023,1,R,SOH_MIN,1,,U16,0.5
BSC#2,2024,1,R,RackCurrentSUMOnlineRack,-1,Rack Current SUM (Online Rack),U16,1
BSC#2,2025,1,R,RackCurrentMaxOnlineRack,-1,Rack Current Max (Online Rack),U16,1
BSC#2,2026,1,R,RackCurrentMinOnlineRack,-1,Rack Current Min (Online Rack),U16,1
BSC#2,2034,1,R,AverageModuleTemp,0,,U16,1
BSC#2,2034,1,R,MaxModuleTemp,1,,U16,1
BSC#2,2035,1,R,MinModuleTemp,0,,U16,1
BSC#2,2043,1,R,CellAVGVoltageV,-1,Cell AVG Voltage [V],U16,1
BSC#2,2044,1,R,CellVoltMax,-1,Cell Volt Max,U16,1
BSC#2,2045,1,R,CellVoltMin,-1,Cell Volt Min,U16,1
BSC#2,2053,1,R,Event1,-1,,U16,1
BSC#2,2054,1,R,Event2,-1,,U16,1
BSC#2,2055,1,R,Event3,-1,,U16,1
BSC#2,2056,1,R,Event4,0,,U16,1
BSC#3,2503,1,R,SOC,0,,U16,0.5
BSC#3,2504,1,R,ChargeablePowerLimitOnlineRack,-1,Chargeable Power Limit (Online Rack) ,U16,1
BSC#3,2505,1,R,DischargeablePowerLimitOnlineRack,-1,Dischargeable Power Limit (Online Rack),U16,1
BSC#3,2506,1,R,SOH,0,,U16,0.5
BSC#3,2513,1,R,SOC_MAX,0,,U16,0.5
BSC#3,2513,1,R,SOC_MIN,1,,U16,0.5
BSC#3,2514,1,R,CellSUMVoltAverageOnlineRack,-1,Cell SUM Volt Average (Online Rack),U16,1
BSC#3,2515,1,R,CellSUMVoltMaxOnlineRack,-1,Cell SUM Volt Max (Online Rack),U16,1
BSC#3,2516,1,R,CellSUMVoltMinOnlineRack,-1,Cell SUM Volt Min (Online Rack),U16,1
BSC#3,2523,1,R,SOH_MAX,0,,U16,0.5
BSC#3,2523,1,R,SOH_MIN,1,,U16,0.5
BSC#3,2524,1,R,RackCurrentSUMOnlineRack,-1,Rack Current SUM (Online Rack),U16,1
BSC#3,2525,1,R,RackCurrentMaxOnlineRack,-1,Rack Current Max (Online Rack),U16,1
BSC#3,2526,1,R,RackCurrentMinOnlineRack,-1,Rack Current Min (Online Rack),U16,1
BSC#3,2534,1,R,AverageModuleTemp,0,,U16,1
BSC#3,2534,1,R,MaxModuleTemp,1,,U16,1
BSC#3,2535,1,R,MinModuleTemp,0,,U16,1
BSC#3,2543,1,R,CellAVGVoltageV,-1,Cell AVG Voltage [V],U16,1
BSC#3,2544,1,R,CellVoltMax,-1,Cell Volt Max,U16,1
BSC#3,2545,1,R,CellVoltMin,-1,Cell Volt Min,U16,1
BSC#3,2553,1,R,Event1,-1,,U16,1
BSC#3,2554,1,R,Event2,-1,,U16,1
BSC#3,2555,1,R,Event3,-1,,U16,1
BSC#3,2556,1,R,Event4,0,,U16,1
BSC#4,3003,1,R,SOC,0,,U16,0.5
BSC#4,3004,1,R,ChargeablePowerLimitOnlineRack,-1,Chargeable Power Limit (Online Rack) ,U16,1
BSC#4,3005,1,R,DischargeablePowerLimitOnlineRack,-1,Dischargeable Power Limit (Online Rack),U16,1
BSC#4,3006,1,R,SOH,0,,U16,0.5
BSC#4,3013,1,R,SOC_MAX,0,,U16,0.5
BSC#4,3013,1,R,SOC_MIN,1,,U16,0.5
BSC#4,3014,1,R,CellSUMVoltAverageOnlineRack,-1,Cell SUM Volt Average (Online Rack),U16,1
BSC#4,3015,1,R,CellSUMVoltMaxOnlineRack,-1,Cell SUM Volt Max (Online Rack),U16,1
BSC#4,3016,1,R,CellSUMVoltMinOnlineRack,-1,Cell SUM Volt Min (Online Rack),U16,1
BSC#4,3023,1,R,SOH_MAX,0,,U16,0.5
BSC#4,3023,1,R,SOH_MIN,1,,U16,0.5
BSC#4,3024,1,R,RackCurrentSUMOnlineRack,-1,Rack Current SUM (Online Rack),U16,1
BSC#4,3025,1,R,RackCurrentMaxOnlineRack,-1,Rack Current Max (Online Rack),U16,1
BSC#4,3026,1,R,RackCurrentMinOnlineRack,-1,Rack Current Min (Online Rack),U16,1
BSC#4,3034,1,R,AverageModuleTemp,0,,U16,1
BSC#4,3034,1,R,MaxModuleTemp,1,,U16,1
BSC#4,3035,1,R,MinModuleTemp,0,,U16,1
BSC#4,3043,1,R,CellAVGVoltageV,-1,Cell AVG Voltage [V],U16,1
BSC#4,3044,1,R,CellVoltMax,-1,Cell Volt Max,U16,1
BSC#4,3045,1,R,CellVoltMin,-1,Cell Volt Min,U16,1
BSC#4,3053,1,R,Event1,-1,,U16,1
BSC#4,3054,1,R,Event2,-1,,U16,1
BSC#4,3055,1,R,Event3,-1,,U16,1
BSC#4,3056,1,R,Event4,0,,U16,1
